Concorso  Data	Bari			Cagliari		Firenze			Genova			Milano			Napoli			Palermo			Roma			Torino			Venezia			Nazionale	
152	23/09/2025	84 10 22 30 36 	61 84 80 87 7 	60 50 48 53 83 	7 38 60 23 28 	8 83 88 78 52 	7 62 27 19 84 	24 69 78 29 57 	58 27 60 7 12 	90 21 45 83 65 	50 55 22 53 28 	4 83 1 74 65 	
151	20/09/2025	21 50 58 19 40 	20 73 24 41 25 	75 46 39 29 73 	26 38 41 83 63 	74 82 29 40 61 	63 34 16 81 31 	47 27 69 53 21 	69 36 49 1 57 	28 50 27 63 58 	23 70 66 22 2 	89 83 24 8 53 	
150	19/09/2025	60 73 59 86 7 	7 15 64 59 12 	30 90 27 72 66 	23 55 45 18 72 	45 37 3 21 5 	77 75 13 73 83 	34 3 39 79 66 	69 62 68 17 83 	38 31 8 12 9 	42 24 9 61 22 	68 31 9 60 90 	
149	18/09/2025	24 27 8 70 68 	75 27 64 20 17 	53 20 46 14 39 	38 72 71 36 65 	24 43 76 19 26 	32 70 51 23 48 	23 73 55 64 62 	66 58 15 49 55 	84 22 38 29 64 	47 52 56 35 89 	4 49 67 57 5 	
148	16/09/2025	26 29 18 10 69 	28 35 57 44 17 	19 29 49 15 17 	23 37 13 90 58 	33 84 76 24 79 	78 15 3 24 56 	80 24 41 8 75 	55 62 83 34 69 	27 80 69 51 84 	89 74 72 82 21 	45 20 85 33 67 	
147	13/09/2025	85 57 40 76 14 	90 15 68 63 76 	81 74 71 25 6 	21 47 44 2 6 	83 39 31 84 55 	74 41 24 47 38 	54 25 61 22 68 	60 72 38 55 3 	10 45 56 54 63 	14 38 66 36 28 	85 48 38 22 81 	
146	12/09/2025	32 23 69 2 62 	39 54 6 5 53 	68 84 2 81 52 	63 12 74 90 38 	76 19 14 81 32 	52 9 4 16 84 	42 52 11 12 50 	64 76 19 57 11 	15 77 2 16 71 	24 64 74 25 53 	12 16 64 52 81 	
145	11/09/2025	60 35 51 84 13 	57 89 73 27 16 	12 73 44 36 9 	24 22 51 16 46 	24 62 77 55 58 	41 44 9 35 50 	74 62 15 21 41 	80 40 27 7 10 	77 34 68 17 24 	65 59 10 87 11 	34 18 77 39 3 	
144	09/09/2025	80 40 25 5 49 	88 51 28 38 67 	83 86 78 3 77 	29 67 66 25 63 	85 66 63 75 60 	78 60 75 41 69 	49 50 88 34 19 	40 47 61 57 9 	20 86 42 53 28 	33 60 83 75 14 	87 81 8 22 78 	
143	06/09/2025	1 26 50 16 49 	61 18 1 62 22 	84 23 32 26 88 	24 27 47 76 44 	59 8 6 11 39 	2 65 40 28 57 	9 66 51 81 49 	76 55 73 88 65 	38 49 40 21 90 	80 60 34 69 42 	89 76 64 80 21 	
142	05/09/2025	8 5 7 41 79 	80 20 3 4 6 	16 44 21 48 60 	46 38 61 11 20 	75 7 87 44 65 	12 15 48 11 22 	17 60 64 62 27 	50 17 41 56 61 	73 78 33 37 28 	6 75 50 69 10 	34 51 27 14 53 	
141	04/09/2025	42 63 35 10 87 	54 70 14 21 23 	37 40 58 64 28 	9 69 63 36 64 	79 57 10 85 88 	53 54 50 13 62 	73 36 86 31 32 	57 24 13 85 78 	24 2 77 81 13 	72 86 51 50 25 	72 62 29 9 81 	
140	02/09/2025	36 17 23 80 83 	6 17 77 59 86 	74 11 43 64 62 	43 31 55 5 78 	86 4 34 45 59 	18 69 5 30 26 	20 9 76 80 55 	89 26 57 75 46 	17 74 35 12 54 	18 34 19 40 66 	49 14 32 19 7 	
139	30/08/2025	85 39 37 73 79 	73 35 51 59 10 	49 44 8 68 61 	55 5 44 42 62 	54 79 11 78 70 	23 71 9 14 49 	88 7 28 30 26 	31 84 35 48 85 	39 48 87 16 27 	56 35 87 17 73 	53 2 90 72 66 	
138	29/08/2025	81 19 78 66 36 	21 68 61 64 39 	51 74 78 47 24 	14 5 8 66 45 	84 48 42 70 36 	54 3 62 11 32 	22 31 78 57 74 	54 17 30 65 13 	85 76 67 73 63 	40 3 12 48 22 	77 13 49 10 84 	
137	28/08/2025	90 50 75 4 56 	11 32 28 87 40 	15 51 54 81 79 	69 84 35 48 26 	35 75 7 36 15 	88 48 39 19 67 	20 73 15 11 70 	87 12 22 19 25 	47 67 71 81 16 	52 75 42 12 73 	79 50 21 39 43 	
136	26/08/2025	18 8 78 60 41 	70 82 13 11 39 	50 48 37 66 31 	32 65 61 15 7 	50 59 68 26 27 	9 71 80 60 72 	56 11 82 1 8 	20 65 49 27 67 	60 3 10 61 47 	17 52 62 83 23 	53 46 70 68 78 	
135	23/08/2025	67 5 41 45 12 	29 78 54 88 28 	57 58 15 45 44 	53 33 89 34 77 	9 31 36 3 21 	82 35 45 6 65 	25 40 82 48 62 	21 24 74 52 9 	28 78 50 90 84 	38 87 3 25 41 	56 9 42 57 33 	
